Kurzbezeichnung	Text	Hilfetext	Nummer	Typ	Einstellwert	Initial	Minimum	Maximum	Variablen_Typ	Passwort	Einheit	Vorkomma	Nachkomma	Not locked by access code	Not delete by P66 function	Bitfield	Non-Volatile	FW_Kommentar
DELPF	Zeitverzögerung Frequenz-Leistungsreduktion	leer	336	Zahl	Einstellwert	100	0	60000	USHORT	PW3	Second	2	2	Nein	Nein	Nein	Ja	leer
TFMAXS	Abschaltzeit Überfrequenz Level 1	Maximale Zeit für die die Netzfrequenz über der Schwelle aus Parameter 337 liegen darf	337	Zahl	Einstellwert	200	5	60000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Nein
TFMINS	Abschaltzeit Unterfrequenz Level 1	Maximale Zeit für die die Netzfrequenz unter der Schwelle aus P338 liegen darf	338	Zahl	Einstellwert	200	5	60000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Nein
NSRL	Neustart Rampe langsam	Neustart Rampe langsam	339	Zahl	Einstellwert	10	0	600	USHORT	PW3	Percent	3	0	Nein	Nein	Nein	Ja	% von Inenn pro Minute
DFLRMAX	Max. Frequenzabweichung Leistungsred.	leer	340	Zahl	Einstellwert	150	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
DFLR	Frequenzabweichung Leistungsred.	Frequenzabweichung von 50Hz für Start Leistungsreduktion	341	Zahl	Einstellwert	20	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	Start Leistungsreduktion
DCP	Delta Cosinus Phi	Delta Cosinus Phi	342	Zahl	Einstellwert	0	-210	210	SHORT	PW3	Without	1	3	Nein	Nein	Nein	Ja	leer
PNLM	Netzlade-Leistung (Maximal)	Netzlade-Leistung (Maximal)	343	Zahl	Einstellwert	4000	0	4000	USHORT	PW2	Watt	5	0	Nein	Nein	Nein	Ja	leer
PSA	Phaseshift Amplitude	Vorgabe der Amplitude für die Inselnetzerkennung	344	Zahl	Einstellwert	30	0	1000	USHORT	PW3	Without	4	0	Nein	Nein	Nein	Ja	leer
PSD	Phaseshift Dauer	Vorgabe der Pulsdauer für die Inselnetzerkennung	345	Zahl	Einstellwert	10	0	1000	SHORT	PW3	Without	4	0	Nein	Nein	Nein	Ja	leer
PSFM	Phaseshift F-Max	Vorgabe der Frequenzabweichung für die Inselnetzerkennung	346	Zahl	Einstellwert	100	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
PSI	Phaseshift Intervall	Vorgabe der Wiederholrate für die Inselnetzerkennung	347	Zahl	Einstellwert	100	10	1000	SHORT	PW3	Without	4	0	Nein	Nein	Nein	Ja	leer
TUACMAXS	Überwachungszeit Netzspannungssteigerung	Filterzeit für die langsame Spannungsüberwachung über ein gleitendes Mittelwertfilter	348	Zahl	Einstellwert	6000	0	6000	USHORT	PW3	Second	4	1	Nein	Nein	Nein	Ja	leer
CPPSP	Cosinus Phi Startleistung	Endleistung für die Cosinus Phi Regelung	349	Zahl	Einstellwert	2500	0	6000	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
CPPMCP	Delta Cosinus Phi Max	Maximaler Wert für Delta CosPhi	350	Zahl	Einstellwert	0	-210	210	SHORT	PW3	Without	1	3	Nein	Nein	Nein	Ja	leer
CPPEP	Cosinus Phi Endleistung	Startleistung für die Cosinus Phi Regelung	351	Zahl	Einstellwert	5500	0	6000	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
LANGCODE	Sprachenkennung	Sprachenkennung	352	Zahl	Istwert	0	0	0	ULONG	PW0	Without	10	0	Nein	Nein	Nein	Nein	leer
NVSV	Nicht flüchtige Speichervariable	leer	353	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Without	10	0	Nein	Nein	Ja	Ja	leer
OMEGAQ	I-Anteil Stromregler Pol bei 50Hz	I-Anteil Stromregler Pol bei 50Hz	354	Zahl	Einstellwert	404	-20000	20000	SHORT	PW2	Without	6	0	Nein	Nein	Nein	Ja	leer
IRK50	P-Anteil Stromregler Pol bei 50Hz	P-Anteil Stromregler Pol bei 50Hz	355	Zahl	Einstellwert	20000	-25000	25000	SHORT	PW2	Without	6	0	Nein	Nein	Nein	Ja	leer
KPUAC	Stromregler KP UAC	Stromregler KP UAC	356	Zahl	Einstellwert	777	0	2000	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
QSOLL1	Blindleistung Sollwert 1	Blindleistung Sollwert	357	Zahl	Einstellwert	0	-3000	3000	SHORT	PW3	Volt-Ampere-reactiv	4	0	Nein	Nein	Nein	Ja	leer
QBA	Betriebsart Blindstrom	Betriebsart Blindstrom	358	Zahl	Einstellwert	0	0	11	USHORT	PW3	Without	2	0	Nein	Nein	Nein	Ja	leer
QSOLL2	Blindleistung Sollwert 2	Blindleistung Sollwert	359	Zahl	Einstellwert	0	-3000	3000	SHORT	PW3	Volt-Ampere-reactiv	4	0	Nein	Nein	Nein	Ja	leer
ULOCKIN	UAC Lock-In	leer	360	Zahl	Einstellwert	0	0	300	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
ULOCKOUT	UAC Lock-Out	leer	361	Zahl	Einstellwert	0	0	300	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
LCDKON	LCD Kontrast	Parameter wird benutzt um den Kontrast des LCD-Displays einzustellen	362	Zahl	Einstellwert	4	1	8	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
LCDBEL	LCD Beleuchtung	Parameter wird benutzt um die Beleuchtung des LCD-Displays einzustellen	363	Zahl	Einstellwert	4	1	8	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
NLUZKS	Netz Laden: UZK-Sollwert	Netz Laden: UZK-Sollwert	364	Zahl	Einstellwert	400	370	450	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
LDC1	Induktivität DC-Drossel PV1	Induktivität DC-Drossel PV1	365	Zahl	Einstellwert	1700	1000	2000	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
LDC2	Induktivität DC-Drossel PV2	Induktivität DC-Drossel PV2	366	Zahl	Einstellwert	1700	1000	2000	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
UPVST	Startspannung PV	Startspannung PV	367	Zahl	Einstellwert	80	50	350	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UACS1	UAC Schwelle 1	Netzspannung an der Schwelle 1	368	Zahl	Einstellwert	210	0	290	USHORT	PW3	Volt	5	0	Nein	Nein	Nein	Ja	leer
UACS2	UAC Schwelle 2	Netzspannung an der Schwelle 2	369	Zahl	Einstellwert	220	0	290	USHORT	PW3	Volt	5	0	Nein	Nein	Nein	Ja	leer
UACS3	UAC Schwelle 3	Netzspannung an der Schwelle 3	370	Zahl	Einstellwert	240	0	290	USHORT	PW3	Volt	5	0	Nein	Nein	Nein	Ja	leer
UACS4	UAC Schwelle 4	Netzspannung an der Schwelle 4	371	Zahl	Einstellwert	250	0	290	USHORT	PW3	Volt	5	0	Nein	Nein	Nein	Ja	leer
DFSMAX	Max. Einschaltfrequenz	Max. Frequenzabweichung von 50Hz für Einschaltung.	372	Zahl	Einstellwert	10	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
LCDV	LCD-Version	LCD-Version	373	Zahl	Einstellwert	0	0	68	USHORT	PW4	Without	2	0	Nein	Nein	Nein	Nein	leer
PFRAMP	Rampe nach Leistungsreduktion	leer	374	Zahl	Einstellwert	10	0	600	USHORT	PW3	Percent	3	0	Nein	Nein	Nein	Ja	leer
TUACMAXF	Abschaltzeit Überspannung Level 2	Maximale Zeit für die die Netzspannung über dem Schwellwert aus Parameter P107 liegen darf.	375	Zahl	Einstellwert	20	5	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Nein
TUACMINF	Abschaltzeit Unterspannung Level 2	Maximale Zeit für die die Netzspannung unter dem Schwellwert aus Parameter P106 liegen darf.	376	Zahl	Einstellwert	20	5	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Nein
TFMAXF	Abschaltzeit Überfrequenz Level 2	Maximale Zeit für die die Netzfrequenz über der Schwelle aus P75 liegen darf	377	Zahl	Einstellwert	20	5	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Nein
TFMINF	Abschaltzeit Unterfrequenz Level 2	Maximale Zeit für die die Netzfrequenz unter der Schwelle aus P76 liegen darf	378	Zahl	Einstellwert	20	5	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	Nein
DFMAXS	Frequenzabweichung nach oben Level 1	Eine Erhöhung der Netzfrequenz um diesen Wert führt zu einer Störabschaltung	379	Zahl	Einstellwert	150	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	Nein
DFMINS	Frequenzabweichung nach unten Level 1	Eine Verringerung der Netzfrequenz um diesen Wert führt zu einer Störabschaltung	380	Zahl	Einstellwert	250	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	Nein
IC	Installateur Code	Codenummer des Installateurs	381	Zahl	Einstellwert	0	0	65535	USHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
PW3RT	PW3 Resttage	Resttage zur Freischaltung von Passwort-Level3	382	Zahl	Einstellwert	-11	-11	31	SHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	leer
PW3FSC	Passwort	Eingabe des Passwort-Level 3 über Display	383	Zahl	Einstellwert	0	0	999999	ULONG	PW0	Without	6	0	Ja	Nein	Nein	Nein	leer
TSPIFMAX	Abschaltzeit SPI Frequenzabweichung nach oben	leer	384	Zahl	Einstellwert	10	5	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	CEI 0-21
QEXT	Blindleistung extern	leer	385	Zahl	Einstellwert	0	-3000	3000	SHORT	PW2	Volt-Ampere-reactiv	4	0	Nein	Nein	Nein	Nein	Parameternummer darf nicht verändert werden da Broadcast-Parameter
DFSMIN	Min. Einschaltfrequenz	leer	386	Zahl	Einstellwert	500	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
UCEXT	Spannung extern	leer	387	Zahl	Einstellwert	0	0	4000	USHORT	PW2	Volt	3	1	Nein	Nein	Nein	Nein	Platzhalter, noch nicht benutzt. Broadcast-Parameter!
COSPHIEXT	Delta Cosinus Phi extern	leer	388	Zahl	Einstellwert	0	-210	210	SHORT	PW2	Without	1	3	Nein	Nein	Nein	Nein	Cosphi Vorgabe von extern
TSPIFMIN	Abschaltzeit SPI Frequenzabweichung nach unten	leer	389	Zahl	Einstellwert	10	5	30000	USHORT	PW3	Second	3	2	Nein	Nein	Nein	Ja	CEI 0-21
PACS2	Cosinus Phi PAC Schwelle 2 	leer	390	Zahl	Einstellwert	3500	0	5500	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
PACS3	Cosinus Phi PAC Schwelle 3	leer	391	Zahl	Einstellwert	4500	0	5500	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
PACLOCKIN	PAC Lock-In	leer	392	Zahl	Einstellwert	0	0	5400	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
PACLOCKOUT	PAC Lock-Out	leer	393	Zahl	Einstellwert	0	0	5400	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
QSLOPE	Blindstrom Rampe Inkrement	leer	394	Zahl	Einstellwert	5	1	50	USHORT	PW3	Without	1	2	Nein	Nein	Nein	Ja	Inkrement für Blindstrom. in 0,01A pro 20ms
QONOFFSET	Q aktiv Kompensation Offset	leer	395	Zahl	Einstellwert	-8	-200	200	SHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	leer
QONRAMP	Q aktiv Kompensation Faktor	leer	396	Zahl	Einstellwert	35	0	500	USHORT	PW4	Without	5	0	Nein	Nein	Nein	Ja	leer
BMZ	Betriebsminutenzähler	Zähler der Betriebsminuten des Geräts	397	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Nein	leer
TDELUACMAX	Delay Korrektur UAC Max	leer	398	Zahl	Einstellwert	4	0	100	USHORT	PW4	Second	1	2	Nein	Nein	Nein	Ja	leer
TDELUACMIN	Delay Korrektur UAC Min	leer	399	Zahl	Einstellwert	4	0	100	USHORT	PW4	Second	1	2	Nein	Nein	Nein	Ja	leer
TDELFREQMAX	Delay Korrektur Freq Max	leer	400	Zahl	Einstellwert	2	0	100	USHORT	PW4	Second	1	2	Nein	Nein	Nein	Ja	leer
TDELFREQMIN	Delay Korrektur Freq Min	leer	401	Zahl	Einstellwert	2	0	100	USHORT	PW4	Second	1	2	Nein	Nein	Nein	Ja	leer
QOFFOFFSET	Q inaktiv Kompensation Offset	leer	402	Zahl	Einstellwert	-10	-200	200	SHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	Blindleistungs-Kompensation-Offset wenn keine Blindleistung ausgewählt
IRKP	Stromregler Kp	Stromregler Parameter Kp	404	Zahl	Einstellwert	2000	0	10000	USHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
IRTN	Stromregler Tn	Stromregler Parameter Tn	405	Zahl	Einstellwert	20	0	1500	USHORT	PW2	Without	4	0	Nein	Nein	Nein	Ja	leer
TRIPDEL	Tripdelay	leer	406	Zahl	Einstellwert	800	0	3000	USHORT	PW4	Without	4	0	Nein	Nein	Nein	Ja	Verzögerung des Trips im LVRT Fall
IRUACMIN	UACMin Stromregler	leer	407	Zahl	Einstellwert	100	0	300	USHORT	PW4	Volt	3	0	Nein	Nein	Nein	Ja	leer
TRIPCNT	Tripcount	leer	408	Zahl	Einstellwert	3	0	500	USHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	Anzahl der Trips die während LVRT zugelassen sind
QOFFRAMP	Q inaktiv Kompensation Faktor	leer	409	Zahl	Einstellwert	22	0	500	USHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	Blindleistungs-Kompensation-Faktor wenn keine Blindleistung ausgewählt
DLOP	Datenlogger Operation	leer	411	Zahl	Einstellwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
DLSTAT	Datenlogger Status	leer	412	Zahl	Istwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
DLPONR	Datenlogger Poolnummer	leer	413	Zahl	Einstellwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
DLPANR	Datenlogger Parameternummer	leer	414	Zahl	Einstellwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
DLINT	Datenlogger Logintervall	leer	415	Zahl	Einstellwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
DLART	Datenlogger Logart	leer	416	Zahl	Einstellwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
HD	Hardware User Disable	leer	417	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Ja	Über diesen Parameter können die Hardwarekomponenten disabled werden
HSR	Hardware Selftest Result	leer	418	Zahl	Istwert	0	0	65535	USHORT	PW3	Without	5	0	Nein	Nein	Ja	Nein	Dieser Parameter enthält das Ergebnis des Buildin-Selftests
TC	Time Calibration	leer	419	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Without	10	0	Nein	Nein	Nein	Nein	Dieser Parameter dient zur Zeitkunfiguration des Semx-Komponente. Die Konfiguration erfolgt über die Sekundendifferenz seit 2014. Schaltjahre werden nicht berücksichtigt -> Reiner abgleich der Zeitparameter
LF	Letzter Fehler	leer	420	Zahl	Einstellwert	0	0	999	USHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	leer
FRAMSIG	FRAM Signatur	leer	421	Zahl	Einstellwert	0x9A56FC13	0	0xFFFFFFFF	ULONG	PW4	Without	10	0	Nein	Ja	Nein	Ja	leer
FWSIG	Firmware Signatur	leer	422	Zahl	Istwert	0	0	0xFFFF	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
TESTPROD	Testmode Produktion	leer	423	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Nein	leer
TMPKEY	TMP Tasteneingabe	leer	424	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	Anzeige der Tasteneingabe im Testmode Produktion
PLT	Plot Typ	leer	425	Zahl	Einstellwert	0	0	MSEMF_countOfPlotTypes	USHORT	PW4	Without	5	0	Nein	Nein	Nein	Ja	leer
PLE	Plot Event	leer	426	Zahl	Einstellwert	0	0	MSEMF_countOfPlotEvents	USHORT	PW4	Without	5	0	Nein	Nein	Nein	Ja	leer
PLCMD	Plot Kommando	leer	427	Zahl	Einstellwert	0	0	MSEMF_countOfPlotCommands	USHORT	PW4	Without	10	0	Nein	Nein	Nein	Nein	leer
PLSTAT	Plot Status	leer	428	Zahl	Einstellwert	0	0	MSEMF_countOfPlotStatus	USHORT	PW4	Without	1	0	Nein	Nein	Nein	Nein	leer
PLA	Plot Attribut	leer	429	Zahl	Einstellwert	0	0x80000000	0x7FFFFFFF	LONG	PW4	Without	10	0	Nein	Nein	Nein	Nein	leer
LVRTMIN	LVRT Min-Schwelle	leer	430	Zahl	Einstellwert	196	0	230	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
LVRTMAX	LVRT Max-Schwelle	leer	431	Zahl	Einstellwert	253	230	300	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
LVRTRET	LVRT Rampen Dauer	leer	432	Zahl	Einstellwert	200	0	65535	USHORT	PW3	Second	2	3	Nein	Nein	Nein	Ja	leer
LVRTIWIRK	LVRT Nenn-Wirkstrom	leer	433	Zahl	Einstellwert	0	0	2200	USHORT	PW3	Ampere	2	2	Nein	Nein	Nein	Ja	leer
LVRTIBLIND	LVRT Nenn-Blindstrom	leer	434	Zahl	Einstellwert	0	0	2260	USHORT	PW3	Ampere	2	2	Nein	Nein	Nein	Ja	leer
NETZCONFIG	Netz Konfiguration	leer	435	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW3	Without	5	0	Nein	Nein	Ja	Ja	Netzspezifische Konfigurationen können hier vorgenommen werden
LVRTKQ	LVRT K-Faktor Blindstrom	leer	436	Zahl	Einstellwert	0	0	20	USHORT	PW3	Without	2	0	Nein	Nein	Nein	Ja	leer
LVRTEVENT	LVRT Ereigniszähler	leer	437	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW3	Without	5	0	Nein	Nein	Nein	Ja	leer
TSS	Temporäre SEMX Variable	leer	438	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Nein	This variable contain temporary SEMX info/control bits
HBIT	Heartbeat Init Time	leer	439	Zahl	Einstellwert	1	0	65535	USHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
HBTO	Heartbeat Intervall Timeout	leer	440	Zahl	Einstellwert	3	0	65535	USHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
HBIS	Heartbeat Intervall Send	leer	441	Zahl	Einstellwert	1	0	65535	USHORT	PW2	Without	5	0	Nein	Nein	Nein	Ja	leer
HBCNT	Heartbeat	leer	442	Zahl	Einstellwert	0	0	0	USHORT	PW2	Without	5	0	Nein	Nein	Ja	Nein	leer
EMSCMD	EMS Kommando	leer	443	Zahl	Einstellwert	0	0	0xFFFF	ULONG	PW0	Without	1	0	Nein	Nein	Nein	Nein	leer
SETUP	Setup erforderlich	leer	444	Zahl	Einstellwert	SETUP_ACTIVE	SETUP_DONE	SETUP_ACTIVE	USHORT	PW3	Without	1	0	Nein	Nein	Nein	Ja	leer
RELTEST	Relaistest Intervall	leer	445	Zahl	Einstellwert	0	0	7200	USHORT	PW4	Minute	5	0	Nein	Nein	Nein	Ja	leer
OPCONF	Betriebsverhalten	leer	446	Zahl	Einstellwert	1	0	0xFFFF	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Ja	Bits die das Betriebsverhalten definieren
VECFI	Variabler Energiezähler Einspeisung	leer	447	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Ja	leer
VECGL	Variabler Energiezähler Netzladen	leer	448	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Ja	leer
VECPV1	Variabler Energiezähler PV1	leer	449	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Ja	leer
VECPV2	Variabler Energiezähler PV2	leer	450	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Ja	leer
IECFI	Intervall Energiezähler Einspeisung	leer	451	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Nein	leer
IECGL	Intervall Energiezähler Netzladen	leer	452	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Nein	leer
IECPV1	Intervall Energiezähler PV1	leer	453	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Nein	leer
IECPV2	Intervall Energiezähler PV2	leer	454	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	10	0	Nein	Nein	Nein	Nein	leer
ECWS	Fehlerzähler Watchdog Speicher	leer	479	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW4	Without	5	0	Nein	Nein	Nein	Ja	leer
FKO	Flash Kommando	leer	480	Zahl	Einstellwert	MSF_GetCmd(S_None)	0	MSF_SLAVE_COMMANDS_COUNT-1	USHORT	PW0	Without	2	0	Nein	Nein	Nein	Ja	leer
FST	Flash Status	leer	481	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Without	10	0	Nein	Nein	Nein	Ja	leer
DCONF	EMS Konfiguration	leer	482	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Ja	EMS Konfigurationen können hier vorgenommen werden

